"시도명",시군구명,도로명,지정사유,지정년도,도로폭,도로연장,도로차로수,보차분리여부,시작점위도,시작점경도,종료점위도,종료점경도,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"광주광역시",북구,동문대로266번길,교행불가,,9,300,2,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,동문대로 248번길,교행불가,,12,520,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,독립로,교행불가,,7.5,200,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,천변우로 283번길,교행불가,,8,180,1,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,천변우로,교행불가,,16,260,4,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,금재로 73번길,교행불가,,8,300,1,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,독립로 237번길,교행불가,,8,300,1,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,천변우로,교행불가,,18,750,4,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,금호로,교행불가,,9,320,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,금호로,교행불가,,11,540,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,설죽로,교행불가,,9.5,50,2,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,천지인로,교행불가,,22,240,5,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,천지인로,교행불가,,19,410,5,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,문화소통로,교행불가,,19,450,4,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,당뫼로,교행불가,,10,210,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,용주로 30번길,교행불가,,3.5,150,1,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,향토문화로,교행불가,,5,110,1,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,당뫼로,교행불가,,10,170,2,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,향토문화로,교행불가,,6,300,1,Y,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",북구,비엔날레로 42번길,교행불가,,7.5,135,1,N,,,,,,광주광역시북구,062-410-8932,2020-09-25
"광주광역시",서구,천변좌로,교행불가,,12,730,4,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,천변좌로(양동시장),교행불가,,14,290,1,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,천변좌로262번길,교행불가,,4.5,280,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,천변좌로,교행불가,,12,600,4,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,화정로150번길,교행불가,,4.2,110,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,빛고을대로 부채도로(우측),교행불가,,3,1030,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,빛고을대로 부채도로(좌측),교행불가,,4,1150,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,무진대로 부채도로(북측),교행불가,,6,290,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,무진대로 부채도로(남측),교행불가,,5.5,820,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,천변좌하로,교행불가,,4,630,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,풍서우로,교행불가,,15,5480,3,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,풍서좌로,교행불가,,15,5370,3,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,화개중앙로,교행불가,,3.2,25,1,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,상무민주로32번길,교행불가,,8,145,1,N,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,풍암동 1049(풍암중앙로),교행불가,,8,130,1,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,대남대로 472번길,교행불가,,8,160,1,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,매월1로49번길,교행불가,,13.5,355,3,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
"광주광역시",서구,매월1로57번길,교행불가,,13.5,355,3,Y,,,,,,광주광역시서구,062-360-7811,2020-09-25
